scanId,level,x_low,y_low,z_low,x_high,y_high,z_high,width,height
17DRP5sb8fy,0,-11.5795,-2.92465,-0.21,5.99388,5.9349,1.49,928,492
1LXtFkjw3qL,0,-7.95234,-17.4859,-3.26,5.8844,4.60489,-1.56,741,1154
1LXtFkjw3qL,1,-7.95234,-17.4859,-0.27,5.8844,4.60489,1.43,741,1154
1LXtFkjw3qL,2,-7.95234,-17.4859,3.14,5.8844,4.60489,4.84,741,1154
1pXnuDYAj8r,0,-6.14158,-18.0938,-0.46,23.8013,13.47,1.24,1547,1628
1pXnuDYAj8r,1,-6.14158,-18.0938,3.22,23.8013,13.47,4.92,1547,1628
29hnd4uzFmX,0,-10.5618,-3.62971,-0.56,3.84576,10.2329,1.14,770,743
29hnd4uzFmX,1,-10.5618,-3.62971,2.46,3.84576,10.2329,4.16,770,743
2azQ1b91cZZ,0,-10.5146,-18.4014,-0.25,32.593,11.7108,1.45,2205,1555
2azQ1b91cZZ,1,-10.5146,-18.4014,3.12,32.593,11.7108,4.82,2205,1555
2n8kARJN3HM,0,-5.29464,-21.5647,-3.81,25.0252,8.69572,-2.11,1565,1563
2n8kARJN3HM,1,-5.29464,-21.5647,-0.21,25.0252,8.69572,1.49,1565,1563
2t7WUuJeko7,0,-1.68429,-7.80449,-0.21,10.1433,2.19928,1.49,641,550
5LpN3gDmAk7,0,-6.99139,-20.1074,-1.51,20.6237,7.50771,0.19,1430,1430
5LpN3gDmAk7,1,-6.99139,-20.1074,2.68,20.6237,7.50771,4.38,1430,1430
5ZKStnWn8Zo,0,-12.1567,-10.1035,-3.4,30.7236,10.5093,-1.7,2194,1080
5ZKStnWn8Zo,1,-12.1567,-10.1035,-0.21,30.7236,10.5093,1.49,2194,1080
5q7pvUzZiYa,0,-3.48904,-6.42537,-3.77,27.8037,8.46964,-2.07,1614,794
5q7pvUzZiYa,1,-3.48904,-6.42537,-0.24,27.8037,8.46964,1.46,1614,794
5q7pvUzZiYa,2,-3.48904,-6.42537,2.97,27.8037,8.46964,4.67,1614,794
759xd9YjKW5,0,-16.3287,-23.6871,-0.22,2.10843,12.1917,1.48,971,1843
